Betelgeuse,5,55,59.6,+,07,24,17
Rigel,5,15,15.8,-,08,11,24
Vega,18,37,27.9,+,38,47,46
M42,5,36,02.6,-,05,22,45
Aldebaran,4,36,47.3,+,16,32,09
Antares,16,30,22.0,-,26,27,46
Polaris,2,49,34.8,+,89,19,46
Sirio,6,45,49.2,-,16,44,39
Regulus,10,09,11.9,+,11,53,22
Procyon,7,40,06.2,+,05,10,51
Alphard,9,28,21.1,-,08,43,48
Canopus,6,24,17.1,-,52,42,44
Arcturus,14,16,22.8,+,19,06,08
Pleyades,3,47,53.8,+,24,09,38
Castor,7,35,34.3,+,31,51,07
Pollux,7,46,15.1,+,27,59,11 
Capella,5,17,48.6,+,46,00,41
Deneb,20,41,57.1,+,45,19,57
Spica,13,25,11.5,-,11,14,26
